Ticker,Vencimento,Dias úteis,F.M. ,Mod.,Strike,A/I/OTM,Dist. (%) do Strike,Último,Var. (%),Data/Hora,Núm. de Neg.,Vol. Financeiro,Vol. Impl. (%),Delta,Gamma,Theta ($),Theta (%),Vega,IQ,Coberto,Travado,Descob.,Tit.,Lanç.
PETRF143,20/06/2025,13,,A,13.76,ITM,"-5,547","1,777",-182,22/05/2025,1,"1.777,00","1,240","10,000",0,-80,-4,0,100,0,0,55.1,3,3
PETRF760,20/06/2025,13,,A,76.01,OTM,"+145,99",1,,29/05/2025,1,"21,500","1,273",37,11,-36,"-3,600",837,100,0,0,21.5,1,1
PETRF142,20/06/2025,13,,E,13.51,ITM,"-5,628","1,850",0,15/05/2025,2,"35.150,00","1,478","9,820",30,-205,-11,"4,427",100,1,0,20.3,3,3
PETRF119,20/06/2025,13,,A,11.26,ITM,"-6,356","1,995",-427,23/05/2025,1,"1.995,00","1,500","9,965",8,-100,-5,896,67,0,500,5.5,2,3
PETRG160,18/07/2025,33,,E,12.55,ITM,"-5,939","1,947",-337,27/05/2025,1,"33.099,00","1,594","9,674",38,-253,-13,"8,776",75,0,225.3,6.9,3,4
PETRF864,20/06/2025,13,,E,7.91,ITM,"-7,440","2,309",-403,23/05/2025,1,"11.545,00","1,660","9,994",1,-53,-2,176,100,0,500,2,2,2
PETRF185,20/06/2025,13,,E,15.01,ITM,"-5,142","1,726",-40,21/05/2025,1,"34.520,00","1,711","9,635",51,-378,-22,"7,345",20,300,12,11.9,2,10
PETRF155,20/06/2025,13,,E,11.01,ITM,"-6,437","2,020",-49,30/05/2025,1,"2.020,00","2,055","9,906",16,-194,-10,"1,930",36,23.5,300,16.9,4,11
PETRF149,20/06/2025,13,,E,9.51,ITM,"-6,922","2,203","+0,36",27/05/2025,1,"17.624,00","2,085","9,938",10,-142,-6,"1,437",38,0,95.1,21.7,3,8
PETRF631,20/06/2025,13,,E,6.31,ITM,"-7,958","2,506","+3,64",22/05/2025,1,"47.614,00","2,278","9,977",4,-72,-3,634,100,0,1.9,0,1,1
PETRF422,20/06/2025,13,,E,0.71,ITM,"-9,770","3,043",-10,30/05/2025,2,"203.881,00","6,620","10,000",0,-4,0,0,71,4.7,19.2,6.7,5,7
PETRF260W1,06/06/2025,4,,A,26,ITM,"-1,586",513,-968,30/05/2025,4,"20.037,00",,"10,000",0,-152,-30,0,33,0,11.1,4.3,1,3
PETRF385W1,06/06/2025,4,,A,38.5,OTM,"+24,60",2,,22/05/2025,1,200,,,,,,,100,0,0,100,1,1
PETRF35,20/06/2025,13,,A,2.86,ITM,"-9,074","2,869",-148,22/05/2025,1,"2.869,00",,,,,,,100,0,2.4,7.9,2,2
